"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States:  November 2018",,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,
STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Black alone or in combination,173,168,116,67.3,6.4,68.9,6.4,93,53.8,6.8,55.2,6.8
,Asian alone or in combination,43,31,15,B,B,B,B,11,B,B,B,B
DISTRICT OF COLUMBIA,Total,567,512,397,70,2.5,77.6,2.4,313,55.2,2.7,61.1,2.8
,Male,264,235,179,68.1,3.7,76.3,3.6,141,53.3,4,59.8,4.2
,Female,304,277,218,71.7,3.4,78.6,3.2,172,56.7,3.7,62.3,3.8
,White alone,270,247,207,76.5,3.4,83.5,3.1,168,62.1,3.9,67.8,3.9
,White non-Hispanic alone,235,223,191,81.3,3.3,85.8,3.1,155,65.9,4,69.5,4
,Black alone,251,228,163,65.2,4.8,71.7,4.7,123,48.9,5,53.7,5.2
,Asian alone,30,22,16,B,B,B,B,13,B,B,B,B
,Hispanic (of any race),53,35,24,B,B,B,B,20,B,B,B,B
,White alone or in combination,281,257,214,76.3,3.3,83.4,3,174,62,3.8,67.8,3.8
,Black alone or in combination,258,234,169,65.5,4.7,72.1,4.6,128,49.5,4.9,54.5,5.1
,Asian alone or in combination,33,25,17,B,B,B,B,14,B,B,B,B
FLORIDA,Total,"16,845","15,047","9,435",56,1.2,62.7,1.3,"7,918",47,1.3,52.6,1.3
,Male,"8,035","7,145","4,383",54.6,1.8,61.4,1.9,"3,648",45.4,1.8,51.1,1.9
,Female,"8,810","7,902","5,052",57.3,1.7,63.9,1.8,"4,270",48.5,1.7,54,1.8
,White alone,"13,425","12,154","7,798",58.1,1.4,64.2,1.4,"6,579",49,1.4,54.1,1.5
,White non-Hispanic alone,"9,592","9,332","6,211",64.8,1.6,66.6,1.6,"5,315",55.4,1.7,57,1.7
,Black alone,"2,644","2,317","1,340",50.7,3.8,57.9,4,"1,094",41.4,3.8,47.2,4.1
,Asian alone,454,330,159,35,9.2,48.2,11.3,134,29.4,8.8,40.5,11.1
,Hispanic (of any race),"4,288","3,146","1,723",40.2,3.8,54.8,4.5,"1,393",32.5,3.7,44.3,4.5
,White alone or in combination,"13,676","12,353","7,899",57.8,1.4,63.9,1.4,"6,666",48.7,1.4,54,1.5
,Black alone or in combination,"2,842","2,463","1,418",49.9,3.7,57.6,3.9,"1,167",41.1,3.6,47.4,4
,Asian alone or in combination,458,334,159,34.8,9.2,47.7,11.3,134,29.2,8.7,40.1,11
GEORGIA,Total,"7,850","7,311","4,840",61.7,1.8,66.2,1.8,"4,084",52,1.9,55.9,1.9
,Male,"3,700","3,417","2,189",59.2,2.7,64,2.7,"1,814",49,2.7,53.1,2.8
,Female,"4,150","3,893","2,651",63.9,2.5,68.1,2.5,"2,270",54.7,2.6,58.3,2.6
,White alone,"4,949","4,686","3,093",62.5,2.3,66,2.3,"2,581",52.2,2.4,55.1,2.4
,White non-Hispanic alone,"4,491","4,454","2,973",66.2,2.3,66.8,2.3,"2,496",55.6,2.5,56.1,2.5
,Black alone,"2,439","2,305","1,577",64.7,3.9,68.4,3.9,"1,374",56.3,4,59.6,4.1
,Asian alone,318,191,108,33.9,11.1,56.4,15,84,26.3,10.3,43.8,15
,Hispanic (of any race),525,264,135,25.7,9.9,51.2,16,101,19.2,9,38.2,15.6
,White alone or in combination,"5,043","4,780","3,135",62.2,2.3,65.6,2.3,"2,609",51.7,2.3,54.6,2.4
,Black alone or in combination,"2,495","2,361","1,600",64.1,3.9,67.8,3.9,"1,382",55.4,4,58.5,4.1
,Asian alone or in combination,327,200,108,33,10.9,53.9,14.8,84,25.6,10.1,41.9,14.6
HAWAII,Total,"1,057",971,523,49.5,2.7,53.9,2.8,427,40.4,2.7,44,2.8
,Male,504,462,237,46.9,3.9,51.2,4.1,193,38.3,3.8,41.7,4.1
,Female,553,509,287,51.9,3.8,56.4,3.9,234,42.4,3.7,46.1,3.9
,White alone,237,231,137,57.9,5.7,59.3,5.7,111,46.8,5.7,47.9,5.8
,White non-Hispanic alone,211,206,125,59.3,6,60.7,6,104,49.3,6.1,50.4,6.1
,Black alone,22,21,10,B,B,B,B,4,B,B,B,B
,Asian alone,480,417,218,45.4,5.1,52.2,5.5,186,38.7,5,44.6,5.4
,Hispanic (of any race),82,79,34,41.3,15.1,42.9,15.4,25,29.7,14,30.9,14.4
,White alone or in combination,351,346,211,60,4.6,61,4.6,171,48.6,4.7,49.3,4.8
,Black alone or in combination,28,27,15,B,B,B,B,8,B,B,B,B
,Asian alone or in combination,590,527,285,48.2,4.6,54,4.8,241,40.9,4.5,45.7,4.8
IDAHO,Total,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8
,Male,645,608,362,56.1,3.8,59.5,3.9,286,44.3,3.8,47,3.9
,Female,654,618,381,58.2,3.8,61.6,3.8,301,46,3.8,48.7,3.9
,White alone,"1,214","1,163",708,58.3,2.8,60.9,2.8,555,45.7,2.8,47.7,2.8
,White non-Hispanic alone,"1,048","1,044",664,63.3,2.9,63.6,2.9,531,50.6,3,50.9,3
,Black alone,8,8,8,B,B,B,B,6,B,B,B,B
,Asian alone,33,22,9,B,B,B,B,8,B,B,B,B
,Hispanic (of any race),182,126,51,27.7,10.1,40,13.3,30,16.5,8.4,23.8,11.6
,White alone or in combination,"1,232","1,178",715,58,2.7,60.7,2.8,562,45.6,2.8,47.7,2.8
,Black alone or in combination,12,12,11,B,B,B,B,9,B,B,B,B
,Asian alone or in combination,33,22,9,B,B,B,B,8,B,B,B,B
ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53,1.7
,Male,"4,711","4,316","2,794",59.3,2.4,64.7,2.4,"2,183",46.3,2.4,50.6,2.5
,Female,"5,021","4,630","3,274",65.2,2.2,70.7,2.2,"2,557",50.9,2.3,55.2,2.4
,White alone,"7,564","7,078","4,892",64.7,1.8,69.1,1.8,"3,802",50.3,1.9,53.7,2
,White non-Hispanic alone,"6,248","6,120","4,436",71,1.9,72.5,1.9,"3,494",55.9,2.1,57.1,2.1
,Black alone,"1,334","1,274",861,64.5,5.3,67.6,5.3,723,54.2,5.5,56.8,5.6
,Asian alone,673,455,205,30.5,7.4,45.1,9.8,150,22.4,6.7,33.1,9.2
,Hispanic (of any race),"1,458","1,061",537,36.8,6.6,50.6,8,354,24.3,5.8,33.3,7.5
,White alone or in combination,"7,666","7,180","4,973",64.9,1.8,69.3,1.8,"3,857",50.3,1.9,53.7,1.9
,Black alone or in combination,"1,382","1,322",895,64.7,5.2,67.7,5.2,740,53.5,5.4,56,5.5
,Asian alone or in combination,688,470,214,31.2,7.4,45.6,9.6,160,23.2,6.7,34,9.2
INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4
,Male,"2,404","2,331","1,522",63.3,3.2,65.3,3.2,"1,115",46.4,3.3,47.8,3.4
,Female,"2,602","2,461","1,609",61.8,3.1,65.4,3.1,"1,249",48,3.2,50.7,3.3
,White alone,"4,260","4,125","2,723",63.9,2.4,66,2.4,"2,066",48.5,2.5,50.1,2.6
,White non-Hispanic alone,"3,937","3,921","2,634",66.9,2.5,67.2,2.5,"1,996",50.7,2.6,50.9,2.6
,Black alone,484,468,299,61.8,8.8,63.9,8.8,221,45.7,9,47.2,9.2
,Asian alone,138,98,40,28.9,16,40.5,20.5,27,19.7,14.1,27.6,18.7
,Hispanic (of any race),337,212,96,28.4,12.7,45.2,17.7,77,22.9,11.8,36.5,17.1
,White alone or in combination,"4,342","4,197","2,775",63.9,2.4,66.1,2.4,"2,099",48.3,2.5,50,2.5
,Black alone or in combination,544,518,329,60.4,8.3,63.5,8.4,245,45,8.5,47.2,8.7
,Asian alone or in combination,147,108,49,33.5,16.1,45.7,19.9,34,22.8,14.3,31.1,18.5
IOWA,Total,"2,376","2,239","1,658",69.8,2.6,74,2.5,"1,335",56.2,2.8,59.6,2.8
,Male,"1,176","1,105",833,70.8,3.6,75.4,3.5,660,56.1,3.9,59.7,4
,Female,"1,201","1,134",825,68.7,3.6,72.7,3.6,675,56.2,3.9,59.5,4
,White alone,"2,192","2,119","1,580",72.1,2.6,74.5,2.6,"1,270",57.9,2.9,59.9,2.9
,White non-Hispanic alone,"2,007","1,983","1,499",74.7,2.6,75.6,2.6,"1,206",60.1,3,60.8,3
,Black alone,89,76,47,52.6,17.4,61.3,18.3,41,46.4,17.4,54.1,18.8
,Asian alone,62,22,14,B,B,B,B,12,B,B,B,B
,Hispanic (of any race),206,148,85,41.5,14.7,57.8,17.4,69,33.5,14.1,46.7,17.5
,White alone or in combination,"2,218","2,133","1,591",71.8,2.6,74.6,2.6,"1,279",57.7,2.8,60,2.9
,Black alone or in combination,100,80,49,48.9,16.5,60.6,17.9,41,41.4,16.2,51.3,18.3
,Asian alone or in combination,72,26,19,B,B,B,B,16,B,B,B,B
KANSAS,Total,"2,149","2,026","1,449",67.4,2.8,71.5,2.8,"1,152",53.6,3,56.9,3
,Male,"1,049",980,692,66,4.1,70.6,4,554,52.8,4.3,56.5,4.4
,Female,"1,100","1,046",757,68.8,3.9,72.4,3.8,598,54.4,4.2,57.2,4.2
,White alone,"1,880","1,777","1,311",69.7,2.9,73.8,2.9,"1,028",54.7,3.2,57.8,3.2
,White non-Hispanic alone,"1,667","1,662","1,249",74.9,2.9,75.2,2.9,982,58.9,3.3,59.1,3.3
,Black alone,129,125,65,50.1,14.7,51.9,15,58,44.9,14.7,46.5,15
,Asian alone,59,46,33,B,B,B,B,33,B,B,B,B
,Hispanic (of any race),231,134,71,30.8,13.2,53.3,18.8,55,23.9,12.2,41.4,18.5
,White alone or in combination,"1,934","1,831","1,338",69.2,2.9,73.1,2.9,"1,050",54.3,3.1,57.3,3.2
,Black alone or in combination,136,131,66,48.9,14.4,50.6,14.6,60,43.9,14.3,45.4,14.6
,Asian alone or in combination,64,51,36,B,B,B,B,36,B,B,B,B
KENTUCKY,Total,"3,370","3,249","2,389",70.9,2.6,73.5,2.6,"1,746",51.8,2.9,53.8,2.9
,Male,"1,627","1,553","1,092",67.1,3.9,70.3,3.8,789,48.5,4.1,50.8,4.2
,Female,"1,743","1,696","1,297",74.5,3.5,76.5,3.4,958,55,3.9,56.5,4
,White alone,"3,014","2,954","2,194",72.8,2.7,74.3,2.7,"1,587",52.7,3,53.7,3
,White non-Hispanic alone,"2,928","2,921","2,183",74.5,2.7,74.7,2.7,"1,579",53.9,3.1,54.1,3.1
,Black alone,248,233,164,66.2,12,70.7,12,131,52.8,12.7,56.4,13
,Asian alone,82,37,14,17.4,17.5,B,B,12,14.1,16,B,B
,Hispanic (of any race),96,37,15,15.8,19.4,B,B,12,12.9,17.8,B,B
,White alone or in combination,"3,036","2,976","2,207",72.7,2.7,74.2,2.7,"1,600",52.7,3,53.8,3
,Black alone or in combination,264,248,171,64.8,11.8,68.9,11.8,138,52.2,12.3,55.5,12.7
,Asian alone or in combination,82,37,14,17.4,17.5,B,B,12,14.1,16,B,B
LOUISIANA,Total,"3,458","3,326","2,263",65.4,2.6,68,2.6,"1,656",47.9,2.7,49.8,2.7
,Male,"1,635","1,557","1,032",63.1,3.8,66.3,3.8,774,47.3,3.9,49.7,4
,Female,"1,823","1,770","1,231",67.5,3.5,69.5,3.5,882,48.4,3.7,49.8,3.8
,White alone,"2,212","2,120","1,501",67.9,3.1,70.8,3.1,"1,075",48.6,3.4,50.7,3.4
,White non-Hispanic alone,"2,047","2,023","1,455",71.1,3.2,71.9,3.2,"1,046",51.1,3.5,51.7,3.5
,Black alone,"1,076","1,072",688,63.9,5.6,64.1,5.6,531,49.4,5.8,49.5,5.9
,Asian alone,60,34,17,B,B,B,B,9,B,B,B,B
,Hispanic (of any race),189,112,56,29.7,16.5,50.2,23.5,35,18.4,14,31.1,21.8
,White alone or in combination,"2,289","2,188","1,543",67.4,3.1,70.5,3.1,"1,106",48.3,3.3,50.6,3.4
,Black alone or in combination,"1,133","1,125",712,62.9,5.5,63.4,5.5,552,48.7,5.7,49.1,5.7
,Asian alone or in combination,70,42,23,B,B,B,B,12,B,B,B,B
MAINE,Total,"1,074","1,056",828,77.1,2.6,78.4,2.5,693,64.5,2.9,65.6,2.9
,Male,527,519,397,75.4,3.7,76.6,3.7,329,62.4,4.2,63.4,4.2
,Female,546,537,431,78.8,3.5,80.1,3.4,364,66.6,4,67.7,4
,White alone,"1,011","1,002",796,78.7,2.6,79.4,2.5,669,66.2,3,66.8,3
,White non-Hispanic alone,"1,001",994,788,78.7,2.6,79.2,2.6,666,66.5,3,67,3
,Black alone,17,11,5,B,B,B,B,3,B,B,B,B
,Asian alone,20,17,6,B,B,B,B,6,B,B,B,B
,Hispanic (of any race),11,10,8,B,B,B,B,3,B,B,B,B
,White alone or in combination,"1,032","1,023",815,79,2.5,79.6,2.5,682,66.1,2.9,66.6,2.9
,Black alone or in combination,20,14,7,B,B,B,B,5,B,B,B,B
,Asian alone or in combination,20,17,6,B,B,B,B,6,B,B,B,B
MARYLAND,Total,"4,666","4,281","3,095",66.3,2.3,72.3,2.3,"2,320",49.7,2.5,54.2,2.6
,Male,"2,217","2,047","1,457",65.7,3.4,71.2,3.4,"1,107",49.9,3.6,54.1,3.7
,Female,"2,449","2,235","1,639",66.9,3.2,73.3,3.1,"1,213",49.5,3.4,54.3,3.5
,White alone,"2,800","2,635","2,021",72.2,2.8,76.7,2.8,"1,536",54.9,3.2,58.3,3.2
,White non-Hispanic alone,"2,466","2,421","1,869",75.8,2.9,77.2,2.9,"1,414",57.3,3.3,58.4,3.4
,Black alone,"1,414","1,293",856,60.5,5.3,66.2,5.3,630,44.5,5.4,48.7,5.6
,Asian alone,315,217,142,44.9,11.9,65.1,13.7,94,29.9,10.9,43.4,14.3
,Hispanic (of any race),500,328,195,39,11.5,59.5,14.3,158,31.7,11,48.3,14.6
,White alone or in combination,"2,874","2,708","2,064",71.8,2.8,76.2,2.7,"1,572",54.7,3.1,58.1,3.2
,Black alone or in combination,"1,467","1,346",887,60.5,5.2,65.9,5.2,651,44.4,5.3,48.4,5.5
,Asian alone or in combination,331,234,154,46.6,11.6,66.1,13.1,103,31.2,10.8,44.3,13.8
MASSACHUSETTS,Total,"5,460","4,919","3,345",61.3,2.2,68,2.2,"2,731",50,2.2,55.5,2.3
,Male,"2,594","2,335","1,556",60,3.1,66.6,3.2,"1,280",49.4,3.2,54.8,3.4
,Female,"2,866","2,583","1,789",62.4,3,69.3,3,"1,451",50.6,3.1,56.2,3.2
,White alone,"4,417","4,156","2,934",66.4,2.3,70.6,2.3,"2,397",54.3,2.5,57.7,2.5
,White non-Hispanic alone,"4,006","3,858","2,737",68.3,2.4,70.9,2.4,"2,266",56.6,2.6,58.7,2.6
,Black alone,454,413,240,52.8,9.3,58,9.6,194,42.7,9.2,47,9.7
,Asian alone,416,234,113,27,9,48.2,13.5,101,24.2,8.7,43.1,13.4
,Hispanic (of any race),565,414,249,44.1,10.7,60.2,12.4,177,31.3,10,42.7,12.5
,White alone or in combination,"4,584","4,266","2,993",65.3,2.3,70.2,2.3,"2,437",53.2,2.4,57.1,2.5
,Black alone or in combination,561,464,258,46,8.3,55.6,9.1,203,36.2,8,43.7,9.1
,Asian alone or in combination,467,284,144,30.9,8.8,50.8,12.3,125,26.9,8.5,44.1,12.2
MICHIGAN,Total,"7,657","7,430","5,453",71.2,1.7,73.4,1.7,"4,418",57.7,1.9,59.5,1.9
,Male,"3,688","3,564","2,563",69.5,2.5,71.9,2.5,"2,072",56.2,2.7,58.1,2.7
,Female,"3,970","3,866","2,890",72.8,2.3,74.8,2.3,"2,346",59.1,2.6,60.7,2.6
,White alone,"6,257","6,171","4,620",73.8,1.8,74.9,1.8,"3,724",59.5,2,60.4,2.1
,White non-Hispanic alone,"6,033","5,973","4,526",75,1.8,75.8,1.8,"3,648",60.5,2.1,61.1,2.1
,Black alone,"1,027","1,003",670,65.2,5.9,66.8,5.9,557,54.2,6.2,55.5,6.3
,Asian alone,242,134,91,37.5,13,67.9,16.8,72,29.9,12.3,54.1,18
,Hispanic (of any race),241,203,99,41.1,16.4,48.9,18.2,81,33.8,15.8,40.1,17.8
,White alone or in combination,"6,335","6,243","4,671",73.7,1.8,74.8,1.8,"3,770",59.5,2,60.4,2
,Black alone or in combination,"1,078","1,048",690,63.9,5.8,65.8,5.9,571,53,6.1,54.5,6.1
,Asian alone or in combination,265,157,114,43,12.7,72.7,14.8,96,36.1,12.3,61,16.2
MINNESOTA,Total,"4,238","4,006","3,000",70.8,2.3,74.9,2.3,"2,523",59.5,2.5,63,2.5
,Male,"2,099","1,969","1,429",68.1,3.4,72.6,3.3,"1,194",56.9,3.6,60.7,3.6
,Female,"2,139","2,037","1,570",73.4,3.2,77.1,3.1,"1,329",62.1,3.5,65.2,3.5
,White alone,"3,632","3,537","2,727",75.1,2.4,77.1,2.3,"2,286",62.9,2.7,64.7,2.7
,White non-Hispanic alone,"3,485","3,471","2,683",77,2.4,77.3,2.4,"2,249",64.5,2.7,64.8,2.7
,Black alone,252,194,128,50.8,12.6,66.1,13.6,106,42.1,12.5,54.7,14.3
,Asian alone,225,157,78,34.6,13.3,49.7,16.7,68,30.2,12.8,43.3,16.6
,Hispanic (of any race),156,65,44,28.2,18.7,B,B,37,23.8,17.7,B,B
,White alone or in combination,"3,698","3,593","2,772",75,2.4,77.2,2.3,"2,327",62.9,2.6,64.8,2.6
