"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2010",,,,,,,,,,,,,
"(Population 18 years and older, in thousands)",,,,,,,,,,,,,
,,,,,,,,,,,,,
STATE,,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,"Percent voted
(Citizen)",Margin of Error1
,Asian alone or in combination,38,23,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
ALASKA,Total,498,478,317,63.8,2.5,66.4,2.6,242,48.6,2.6,50.7,2.7
,Male,252,243,161,64.1,3.6,66.3,3.6,127,50.4,3.7,52.1,3.8
,Female,246,235,156,63.4,3.6,66.6,3.6,115,46.8,3.8,49.2,3.9
,White alone,385,375,262,68.2,2.8,70,2.8,209,54.3,3,55.7,3
,White non-Hispanic alone,364,357,253,69.3,2.9,70.7,2.8,202,55.3,3.1,56.5,3.1
,Black alone,24,24,13,(B),(B),(B),(B),7,(B),(B),(B),(B)
,Asian alone,19,10,4,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Hispanic (of any race),23,20,10,(B),(B),(B),(B),7,(B),(B),(B),(B)
,White alone or in combination,408,398,276,67.8,2.7,69.5,2.7,215,52.8,2.9,54.1,3
,Black alone or in combination,29,29,17,(B),(B),(B),(B),10,(B),(B),(B),(B)
,Asian alone or in combination,22,12,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
ARIZONA,Total,"4,831","4,443","2,934",60.7,2.1,66,2.1,"2,170",44.9,2.1,48.8,2.3
,Male,"2,391","2,239","1,419",59.3,3,63.4,3.1,"1,075",45,3.1,48,3.2
,Female,"2,439","2,204","1,516",62.1,2.9,68.8,3,"1,095",44.9,3,49.7,3.2
,White alone,"4,267","3,905","2,581",60.5,2.2,66.1,2.3,"1,936",45.4,2.3,49.6,2.4
,White non-Hispanic alone,"3,019","2,984","2,050",67.9,2.6,68.7,2.5,"1,565",51.9,2.7,52.4,2.7
,Black alone,193,186,122,63.1,12.6,65.5,12.7,76,39.4,12.8,41,13.1
,Asian alone,97,79,62,64.2,18.5,78.7,17.5,49,50.2,19.3,61.4,20.8
,Hispanic (of any race),"1,389","1,061",610,43.9,6.3,57.5,7.2,407,29.3,5.8,38.3,7
,White alone or in combination,"4,369","4,007","2,652",60.7,2.2,66.2,2.2,"1,966",45,2.3,49.1,2.4
,Black alone or in combination,202,195,127,62.7,12.3,65,12.4,76,37.7,12.4,39.1,12.7
,Asian alone or in combination,103,85,62,60.4,18.3,73,18.2,49,47.2,18.7,57,20.4
ARKANSAS,Total,"2,140","2,068","1,256",58.7,2.5,60.7,2.5,841,39.3,2.5,40.7,2.5
,Male,"1,021",979,569,55.8,3.7,58.1,3.7,382,37.4,3.6,39,3.7
,Female,"1,120","1,089",687,61.4,3.4,63.1,3.4,459,41,3.5,42.2,3.5
,White alone,"1,740","1,701","1,050",60.4,2.8,61.7,2.8,713,41,2.8,41.9,2.8
,White non-Hispanic alone,"1,659","1,655","1,038",62.6,2.8,62.7,2.8,705,42.5,2.9,42.6,2.9
,Black alone,310,310,168,54.3,8.1,54.3,8.1,100,32.5,7.6,32.5,7.6
,Asian alone,48,15,7,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),83,48,14,17.1,15.3,29.7,24.4,10,11.8,13.1,20.5,21.6
,White alone or in combination,"1,758","1,719","1,068",60.8,2.7,62.1,2.8,727,41.4,2.8,42.3,2.8
,Black alone or in combination,313,313,172,54.8,8,54.8,8,102,32.5,7.6,32.5,7.6
,Asian alone or in combination,51,18,10,(B),(B),(B),(B),6,(B),(B),(B),(B)
CALIFORNIA,Total,"27,381","22,767","13,864",50.6,0.9,60.9,1,"10,725",39.2,0.9,47.1,1
,Male,"13,470","11,111","6,705",49.8,1.3,60.3,1.4,"5,160",38.3,1.3,46.4,1.4
,Female,"13,910","11,656","7,160",51.5,1.3,61.4,1.4,"5,565",40,1.3,47.7,1.4
,White alone,"20,828","17,331","11,016",52.9,1,63.6,1.1,"8,666",41.6,1,50,1.1
,White non-Hispanic alone,"12,418","11,985","8,197",66,1.3,68.4,1.3,"6,713",54.1,1.3,56,1.4
,Black alone,"1,728","1,661",932,54,4.4,56.1,4.4,708,41,4.3,42.6,4.4
,Asian alone,"3,860","2,938","1,472",38.1,3,50.1,3.5,"1,008",26.1,2.7,34.3,3.3
,Hispanic (of any race),"9,004","5,816","3,025",33.6,2.4,52,3.1,"2,058",22.9,2.1,35.4,3
,White alone or in combination,"21,269","17,733","11,271",53,1,63.6,1.1,"8,881",41.8,1,50.1,1.1
,Black alone or in combination,"1,887","1,821","1,028",54.5,4.2,56.5,4.2,779,41.3,4.1,42.8,4.2
,Asian alone or in combination,"4,020","3,096","1,594",39.7,2.9,51.5,3.4,"1,092",27.2,2.7,35.3,3.3
COLORADO,Total,"3,768","3,473","2,299",61,2.4,66.2,2.4,"1,826",48.4,2.5,52.6,2.6
,Male,"1,865","1,711","1,104",59.2,3.4,64.5,3.5,871,46.7,3.5,50.9,3.6
,Female,"1,903","1,762","1,196",62.8,3.3,67.9,3.4,955,50.2,3.5,54.2,3.6
,White alone,"3,423","3,195","2,142",62.6,2.5,67,2.5,"1,714",50.1,2.6,53.7,2.7
,White non-Hispanic alone,"2,825","2,768","1,938",68.6,2.6,70,2.6,"1,577",55.8,2.8,57,2.8
,Black alone,148,129,82,55.6,14.9,63.8,15.4,60,40.6,14.7,46.6,16
,Asian alone,112,70,32,29.1,16.4,46.6,22.8,21,19.2,14.2,30.7,21.1
,Hispanic (of any race),629,455,214,34,8.9,47.1,11.1,144,22.9,7.9,31.7,10.3
,White alone or in combination,"3,465","3,235","2,160",62.4,2.5,66.8,2.5,"1,728",49.9,2.6,53.4,2.6
,Black alone or in combination,155,136,84,54.6,14.6,62.2,15.2,60,38.9,14.3,44.3,15.6
,Asian alone or in combination,129,85,40,30.6,15.5,46.4,20.6,26,20.4,13.5,30.9,19.1
CONNECTICUT,Total,"2,648","2,463","1,641",62,2.5,66.6,2.6,"1,215",45.9,2.6,49.3,2.7
,Male,"1,274","1,171",767,60.2,3.7,65.5,3.7,577,45.3,3.7,49.3,3.9
,Female,"1,374","1,292",874,63.6,3.5,67.7,3.5,638,46.5,3.6,49.4,3.7
,White alone,"2,273","2,181","1,473",64.8,2.7,67.6,2.7,"1,096",48.2,2.8,50.3,2.9
,White non-Hispanic alone,"2,073","2,016","1,386",66.9,2.8,68.7,2.8,"1,052",50.7,3,52.2,3
,Black alone,247,209,132,53.4,10.3,63.1,10.9,93,37.7,10,44.6,11.2
,Asian alone,102,49,29,28.1,15.2,57.9,23.9,22,22,14,45.3,24.1
,Hispanic (of any race),243,197,111,45.6,13.5,56.3,14.9,56,22.9,11.4,28.3,13.6
,White alone or in combination,"2,290","2,196","1,476",64.5,2.7,67.2,2.7,"1,096",47.9,2.8,49.9,2.9
,Black alone or in combination,263,224,138,52.5,10,61.7,10.6,97,36.7,9.7,43.2,10.8
,Asian alone or in combination,104,52,29,27.6,14.9,55.5,23.5,22,21.5,13.7,43.4,23.4
DELAWARE,Total,667,634,418,62.6,2.5,65.9,2.5,323,48.5,2.6,51,2.7
,Male,318,300,190,59.6,3.7,63.3,3.8,147,46.1,3.8,48.9,3.9
,Female,349,334,228,65.3,3.4,68.2,3.4,177,50.6,3.6,52.9,3.7
,White alone,513,489,330,64.4,2.9,67.5,2.9,252,49.2,3,51.6,3.1
,White non-Hispanic alone,479,475,324,67.7,2.9,68.3,2.9,249,52,3.1,52.5,3.1
,Black alone,134,130,79,58.5,7,60.6,7,64,47.9,7.1,49.6,7.2
,Asian alone,11,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Hispanic (of any race),40,19,9,(B),(B),(B),(B),6,(B),(B),(B),(B)
,White alone or in combination,517,493,332,64.1,2.8,67.3,2.9,253,48.9,3,51.3,3
,Black alone or in combination,139,135,81,58.4,6.8,60.4,6.9,66,47.5,6.9,49.1,7
,Asian alone or in combination,11,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
DISTRICT OF COLUMBIA,Total,489,441,295,60.3,2.7,66.9,2.7,200,40.8,2.7,45.3,2.9
,Male,223,200,127,57,4,63.7,4.1,84,37.5,3.9,41.9,4.2
,Female,266,241,168,63.1,3.6,69.5,3.6,116,43.6,3.7,48.1,3.9
,White alone,220,189,134,60.7,4,70.9,4,86,38.8,4,45.3,4.4
,White non-Hispanic alone,181,169,124,68.7,4.2,73.5,4.1,80,44.1,4.5,47.1,4.6
,Black alone,244,234,146,59.8,4.6,62.5,4.6,103,42.3,4.6,44.2,4.8
,Asian alone,14,12,9,(B),(B),(B),(B),6,(B),(B),(B),(B)
,Hispanic (of any race),45,23,12,(B),(B),(B),(B),8,(B),(B),(B),(B)
,White alone or in combination,223,192,137,61.2,3.9,71.3,3.9,88,39.5,4,45.9,4.3
,Black alone or in combination,246,235,147,60,4.6,62.7,4.6,105,42.6,4.6,44.5,4.7
,Asian alone or in combination,15,12,10,(B),(B),(B),(B),7,(B),(B),(B),(B)
FLORIDA,Total,"14,227","12,697","7,994",56.2,1.2,63,1.3,"5,572",39.2,1.2,43.9,1.3
,Male,"6,872","6,114","3,735",54.4,1.8,61.1,1.8,"2,623",38.2,1.7,42.9,1.9
,Female,"7,355","6,582","4,259",57.9,1.7,64.7,1.7,"2,949",40.1,1.7,44.8,1.8
,White alone,"11,665","10,553","6,731",57.7,1.4,63.8,1.4,"4,740",40.6,1.3,44.9,1.4
,White non-Hispanic alone,"8,797","8,540","5,529",62.8,1.5,64.7,1.5,"3,902",44.4,1.6,45.7,1.6
,Black alone,"2,046","1,748","1,073",52.4,4,61.4,4.2,725,35.4,3.8,41.5,4.2
,Asian alone,390,275,128,32.9,8.9,46.7,11.3,68,17.4,7.2,24.7,9.7
,Hispanic (of any race),"2,962","2,100","1,239",41.8,4.2,59,5,863,29.1,3.9,41.1,5
,White alone or in combination,"11,771","10,654","6,789",57.7,1.3,63.7,1.4,"4,779",40.6,1.3,44.9,1.4
,Black alone or in combination,"2,097","1,798","1,087",51.9,3.9,60.5,4.1,735,35,3.7,40.8,4.2
,Asian alone or in combination,416,296,135,32.5,8.6,45.6,10.8,74,17.9,7,25.1,9.4
GEORGIA,Total,"7,119","6,574","4,076",57.2,1.7,62,1.8,"2,865",40.2,1.7,43.6,1.8
,Male,"3,404","3,121","1,929",56.7,2.5,61.8,2.6,"1,338",39.3,2.5,42.9,2.6
,Female,"3,715","3,453","2,147",57.8,2.4,62.2,2.5,"1,527",41.1,2.4,44.2,2.5
,White alone,"4,734","4,377","2,717",57.4,2.1,62.1,2.2,"1,881",39.7,2.1,43,2.2
,White non-Hispanic alone,"4,294","4,225","2,657",61.9,2.2,62.9,2.2,"1,845",43,2.3,43.7,2.3
,Black alone,"2,066","1,983","1,260",61,3.9,63.5,3.9,929,45,3.9,46.8,4
,Asian alone,254,157,51,20,9.4,32.4,14.1,23,9,6.7,14.6,10.6
,Hispanic (of any race),519,194,77,14.9,7.3,39.7,16.4,46,8.9,5.9,23.9,14.3
,White alone or in combination,"4,776","4,411","2,748",57.5,2.1,62.3,2.2,"1,905",39.9,2.1,43.2,2.2
,Black alone or in combination,"2,100","2,010","1,284",61.1,3.8,63.9,3.9,950,45.2,3.9,47.2,4
,Asian alone or in combination,262,165,55,20.9,9.5,33.3,13.8,23,8.7,6.6,13.8,10.1
HAWAII,Total,965,892,466,48.3,2.5,52.3,2.6,385,39.9,2.5,43.1,2.6
,Male,471,442,226,48,3.6,51.1,3.7,182,38.7,3.5,41.2,3.7
,Female,494,449,240,48.5,3.5,53.4,3.7,203,41,3.5,45.1,3.7
,White alone,191,179,99,52.1,5.6,55.7,5.8,84,43.9,5.6,47,5.8
,White non-Hispanic alone,169,160,90,53.6,6,56.4,6.1,76,45.1,6,47.5,6.2
,Black alone,28,27,10,(B),(B),(B),(B),10,(B),(B),(B),(B)
,Asian alone,432,394,223,51.6,4.7,56.6,4.9,192,44.5,4.7,48.8,5
,Hispanic (of any race),85,77,39,45.9,13.3,50.7,14,27,32.3,12.4,35.7,13.4
,White alone or in combination,337,325,165,48.9,4.2,50.8,4.3,136,40.2,4.2,41.8,4.3
,Black alone or in combination,39,37,14,(B),(B),(B),(B),11,(B),(B),(B),(B)
,Asian alone or in combination,578,539,290,50.2,4.1,53.8,4.2,242,41.9,4,44.8,4.2
IDAHO,Total,"1,114","1,048",666,59.8,2.5,63.5,2.5,498,44.7,2.5,47.5,2.6
,Male,546,513,325,59.5,3.5,63.3,3.6,235,43.1,3.5,45.9,3.7
,Female,568,535,341,60,3.4,63.7,3.5,263,46.2,3.5,49.1,3.6
,White alone,"1,051","1,001",645,61.4,2.5,64.4,2.5,483,46,2.6,48.3,2.6
,White non-Hispanic alone,955,944,628,65.8,2.6,66.5,2.6,475,49.7,2.7,50.3,2.7
,Black alone,8,8,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Asian alone,19,5,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),100,61,17,16.9,9.8,27.8,15.1,9,8.9,7.5,14.7,11.9
,White alone or in combination,"1,069","1,019",651,60.9,2.5,63.9,2.5,490,45.8,2.5,48,2.6
,Black alone or in combination,9,9,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Asian alone or in combination,23,9,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
ILLINOIS,Total,"9,619","8,780","5,823",60.5,1.5,66.3,1.5,"3,994",41.5,1.5,45.5,1.6
,Male,"4,661","4,202","2,670",57.3,2.2,63.6,2.2,"1,872",40.2,2.2,44.6,2.3
,Female,"4,958","4,578","3,152",63.6,2,68.8,2.1,"2,122",42.8,2.1,46.3,2.2
,White alone,"7,799","7,177","4,794",61.5,1.7,66.8,1.7,"3,225",41.4,1.7,44.9,1.8
,White non-Hispanic alone,"6,606","6,449","4,415",66.8,1.7,68.5,1.7,"2,991",45.3,1.8,46.4,1.9
,Black alone,"1,312","1,266",844,64.4,4.8,66.7,4.8,658,50.2,5,52,5.1
,Asian alone,434,263,132,30.3,8.4,50,11.7,88,20.2,7.3,33.3,11
,Hispanic (of any race),"1,220",749,388,31.8,6.3,51.9,8.6,241,19.8,5.4,32.2,8
,White alone or in combination,"7,841","7,219","4,822",61.5,1.6,66.8,1.7,"3,241",41.3,1.7,44.9,1.8
,Black alone or in combination,"1,350","1,304",874,64.8,4.7,67,4.7,672,49.8,4.9,51.5,5
,Asian alone or in combination,434,263,132,30.3,8.4,50,11.7,88,20.2,7.3,33.3,11
INDIANA,Total,"4,777","4,638","2,838",59.4,2.1,61.2,2.1,"1,826",38.2,2.1,39.4,2.1
,Male,"2,317","2,233","1,315",56.7,3.1,58.9,3.1,892,38.5,3,39.9,3.1
,Female,"2,459","2,405","1,523",61.9,2.9,63.3,2.9,934,38,2.9,38.9,3
,White alone,"4,300","4,193","2,544",59.2,2.2,60.7,2.2,"1,646",38.3,2.2,39.3,2.2
,White non-Hispanic alone,"4,114","4,095","2,515",61.1,2.3,61.4,2.3,"1,632",39.7,2.3,39.8,2.3
,Black alone,371,363,254,68.3,8.7,69.8,8.7,158,42.6,9.3,43.5,9.4
,Asian alone,35,12,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),195,102,33,17,12.6,32.4,21.7,19,9.8,10,18.7,18.1
,White alone or in combination,"4,347","4,240","2,572",59.2,2.2,60.7,2.2,"1,663",38.3,2.2,39.2,2.2
,Black alone or in combination,418,409,281,67.4,8.3,68.7,8.3,175,42,8.7,42.8,8.8
,Asian alone or in combination,40,16,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
IOWA,Total,"2,278","2,185","1,547",67.9,2.5,70.8,2.4,"1,143",50.2,2.6,52.3,2.7
,Male,"1,114","1,064",729,65.5,3.6,68.6,3.6,544,48.8,3.8,51.1,3.9
,Female,"1,164","1,121",818,70.2,3.4,72.9,3.3,599,51.5,3.7,53.4,3.7
,White alone,"2,161","2,086","1,494",69.1,2.5,71.6,2.5,"1,106",51.2,2.7,53,2.7
,White non-Hispanic alone,"2,068","2,051","1,479",71.5,2.5,72.1,2.5,"1,096",53,2.8,53.5,2.8
,Black alone,57,51,29,(B),(B),(B),(B),17,(B),(B),(B),(B)
,Asian alone,21,9,4,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),96,38,15,15.4,14.6,39.2,31.5,10,10.1,12.1,25.7,28.1
,White alone or in combination,"2,187","2,112","1,510",69.1,2.5,71.5,2.5,"1,118",51.1,2.7,53,2.7
,Black alone or in combination,64,58,33,(B),(B),(B),(B),21,(B),(B),(B),(B)
,Asian alone or in combination,21,9,4,(B),(B),(B),(B),3,(B),(B),(B),(B)
KANSAS,Total,"2,059","1,971","1,349",65.5,2.5,68.4,2.5,931,45.2,2.7,47.2,2.7
,Male,"1,022",975,658,64.4,3.6,67.5,3.6,457,44.8,3.8,46.9,3.9
,Female,"1,038",996,691,66.6,3.5,69.4,3.5,474,45.7,3.7,47.6,3.8
,White alone,"1,831","1,767","1,245",68,2.6,70.4,2.6,863,47.1,2.8,48.8,2.9
,White non-Hispanic alone,"1,719","1,706","1,203",70,2.7,70.5,2.7,843,49,2.9,49.4,2.9
,Black alone,113,105,52,45.9,13.7,49.3,14.3,34,30.1,12.6,32.3,13.4
,Asian alone,47,32,15,(B),(B),(B),(B),11,(B),(B),(B),(B)
,Hispanic (of any race),125,68,45,36.5,16.4,67.1,21.7,20,16.3,12.6,30,21.2
,White alone or in combination,"1,888","1,823","1,274",67.4,2.6,69.9,2.6,882,46.7,2.8,48.4,2.8
,Black alone or in combination,115,107,52,45.2,13.6,48.5,14.1,34,29.6,12.5,31.7,13.2
,Asian alone or in combination,65,50,28,(B),(B),(B),(B),19,(B),(B),(B),(B)
KENTUCKY,Total,"3,250","3,158","2,113",65,2.5,66.9,2.5,"1,479",45.5,2.6,46.8,2.6
,Male,"1,552","1,505",956,61.6,3.7,63.5,3.7,704,45.4,3.8,46.8,3.8
,Female,"1,698","1,652","1,157",68.1,3.4,70,3.3,775,45.6,3.6,46.9,3.6
,White alone,"2,995","2,930","1,974",65.9,2.6,67.4,2.6,"1,383",46.2,2.7,47.2,2.7
,White non-Hispanic alone,"2,889","2,859","1,967",68.1,2.6,68.8,2.6,"1,381",47.8,2.8,48.3,2.8
,Black alone,203,196,118,58.3,12.5,60.1,12.6,76,37.6,12.2,38.8,12.5
,Asian alone,33,12,10,(B),(B),(B),(B),10,(B),(B),(B),(B)
,Hispanic (of any race),109,72,8,7.6,11.9,11.5,17.5,2,2.1,6.5,3.2,9.7
,White alone or in combination,"3,011","2,946","1,984",65.9,2.6,67.3,2.6,"1,391",46.2,2.7,47.2,2.7
,Black alone or in combination,206,200,120,58,12.4,59.8,12.5,78,37.6,12.1,38.8,12.4
,Asian alone or in combination,33,12,10,(B),(B),(B),(B),10,(B),(B),(B),(B)
LOUISIANA,Total,"3,314","3,236","2,425",73.2,2.3,74.9,2.2,"1,618",48.8,2.6,50,2.6
,Male,"1,555","1,520","1,111",71.5,3.4,73.1,3.4,766,49.2,3.7,50.4,3.8
,Female,"1,759","1,717","1,314",74.7,3.1,76.5,3,852,48.4,3.5,49.6,3.6
,White alone,"2,218","2,167","1,624",73.2,2.8,74.9,2.7,"1,101",49.6,3.1,50.8,3.2
,White non-Hispanic alone,"2,129","2,116","1,597",75,2.8,75.5,2.8,"1,087",51.1,3.2,51.4,3.2
,Black alone,981,981,743,75.8,4.9,75.8,4.9,480,48.9,5.7,48.9,5.7
,Asian alone,36,9,3,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),104,67,42,40.4,22.3,63.2,27.4,16,15.3,16.3,23.9,24.2
,White alone or in combination,"2,275","2,225","1,667",73.3,2.7,74.9,2.7,"1,123",49.3,3.1,50.5,3.1
,Black alone or in combination,"1,015","1,015",773,76.2,4.8,76.2,4.8,494,48.7,5.6,48.7,5.6
,Asian alone or in combination,40,14,3,(B),(B),(B),(B),3,(B),(B),(B),(B)
MAINE,Total,"1,034","1,017",779,75.4,2.4,76.6,2.4,604,58.4,2.8,59.4,2.8
,Male,499,487,363,72.8,3.6,74.6,3.6,284,56.9,4.1,58.2,4.1
,Female,535,530,416,77.7,3.3,78.5,3.3,320,59.8,3.9,60.4,3.9
,White alone,"1,004",992,765,76.2,2.5,77.1,2.4,596,59.3,2.8,60,2.8
,White non-Hispanic alone,"1,000",989,763,76.3,2.5,77.1,2.4,594,59.4,2.8,60,2.8
,Black alone,13,9,5,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Asian alone,6,4,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Hispanic (of any race),6,5,4,(B),(B),(B),(B),2,(B),(B),(B),(B)
,White alone or in combination,"1,011","1,000",771,76.2,2.4,77,2.4,598,59.1,2.8,59.8,2.8
,Black alone or in combination,18,14,8,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Asian alone or in combination,7,5,3,(B),(B),(B),(B),2,(B),(B),(B),(B)
MARYLAND,Total,"4,279","3,853","2,509",58.6,2.3,65.1,2.3,"1,802",42.1,2.3,46.8,2.4
,Male,"2,039","1,818","1,156",56.7,3.3,63.6,3.4,823,40.4,3.3,45.3,3.5
,Female,"2,240","2,035","1,353",60.4,3.1,66.5,3.2,979,43.7,3.2,48.1,3.4
,White alone,"2,760","2,559","1,711",62,2.8,66.8,2.8,"1,233",44.7,2.9,48.2,3
,White non-Hispanic alone,"2,474","2,428","1,638",66.2,2.9,67.4,2.9,"1,189",48.1,3.1,49,3.1
,Black alone,"1,217","1,082",685,56.3,5.2,63.3,5.4,505,41.5,5.2,46.6,5.6
,Asian alone,240,152,71,29.7,11.3,46.9,15.6,41,16.9,9.3,26.7,13.8
,Hispanic (of any race),337,166,90,26.8,11.5,54.4,18.5,55,16.3,9.6,33.2,17.4
,White alone or in combination,"2,792","2,591","1,736",62.2,2.8,67,2.8,"1,242",44.5,2.9,47.9,3
,Black alone or in combination,"1,237","1,102",700,56.6,5.2,63.5,5.3,514,41.5,5.2,46.6,5.5
,Asian alone or in combination,248,160,79,32,11.4,49.5,15.2,44,17.6,9.3,27.2,13.5
MASSACHUSETTS,Total,"5,097","4,695","3,230",63.4,2,68.8,2,"2,452",48.1,2.1,52.2,2.2
,Male,"2,436","2,235","1,486",61,2.9,66.5,3,"1,168",48,3,52.3,3.1
,Female,"2,661","2,460","1,743",65.5,2.7,70.9,2.7,"1,284",48.2,2.9,52.2,3
,White alone,"4,516","4,283","3,037",67.2,2.1,70.9,2.1,"2,304",51,2.2,53.8,2.3
,White non-Hispanic alone,"4,114","3,965","2,910",70.7,2.1,73.4,2.1,"2,258",54.9,2.3,57,2.3
,Black alone,319,236,109,34.2,9.6,46.3,11.7,93,29.1,9.2,39.3,11.5
,Asian alone,216,134,63,29.2,11.6,47,16.2,44,20.3,10.3,32.6,15.2
,Hispanic (of any race),430,346,134,31.2,10.5,38.8,12.3,48,11.3,7.1,14,8.7
,White alone or in combination,"4,547","4,313","3,051",67.1,2.1,70.7,2.1,"2,314",50.9,2.2,53.6,2.3
,Black alone or in combination,343,260,121,35.3,9.3,46.5,11.2,99,29,8.8,38.2,10.9
,Asian alone or in combination,220,134,63,28.7,11.5,47,16.2,44,19.9,10.1,32.6,15.2
MICHIGAN,Total,"7,513","7,176","5,127",68.2,1.6,71.4,1.6,"3,394",45.2,1.7,47.3,1.8
,Male,"3,606","3,438","2,393",66.4,2.4,69.6,2.4,"1,606",44.6,2.5,46.7,2.6
,Female,"3,907","3,738","2,734",70,2.2,73.2,2.2,"1,787",45.7,2.4,47.8,2.5
,White alone,"6,141","5,954","4,376",71.3,1.7,73.5,1.7,"2,873",46.8,1.9,48.3,1.9
,White non-Hispanic alone,"5,929","5,800","4,281",72.2,1.7,73.8,1.7,"2,817",47.5,1.9,48.6,2
,Black alone,997,974,598,60,5.6,61.4,5.7,407,40.8,5.7,41.8,5.7
,Asian alone,244,118,49,20.2,9.7,41.7,17.2,34,14,8.4,28.9,15.8
,Hispanic (of any race),229,171,107,46.6,15.6,62.6,17.5,68,29.6,14.2,39.7,17.7
,White alone or in combination,"6,227","6,040","4,438",71.3,1.7,73.5,1.7,"2,919",46.9,1.9,48.3,1.9
,Black alone or in combination,"1,047","1,023",646,61.7,5.5,63.1,5.5,450,43,5.6,44,5.6
,Asian alone or in combination,248,122,49,19.9,9.6,40.4,16.8,34,13.8,8.3,28,15.4
MINNESOTA,Total,"3,982","3,830","2,756",69.2,2.2,72,2.2,"2,104",52.8,2.4,54.9,2.4
,Male,"1,965","1,892","1,341",68.3,3.1,70.9,3.1,"1,016",51.7,3.4,53.7,3.4
,Female,"2,017","1,938","1,415",70.2,3,73,3,"1,088",53.9,3.3,56.1,3.4
,White alone,"3,680","3,599","2,639",71.7,2.2,73.3,2.2,"2,024",55,2.4,56.3,2.5
,White non-Hispanic alone,"3,556","3,518","2,598",73.1,2.2,73.8,2.2,"1,997",56.2,2.5,56.8,2.5
