Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2014",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
,Male,"2,423","2,133","1,309",54.0,3.1,61.4,3.2,823,34.0,2.9,38.6,3.2,,,,,,,
,Female,"2,571","2,264","1,430",55.6,3.0,63.1,3.1,961,37.4,2.9,42.5,3.1,,,,,,,
,White alone,"4,226","3,742","2,386",56.5,2.3,63.8,2.4,"1,583",37.5,2.3,42.3,2.4,,,,,,,
,.White non-Hispanic alone,"2,743","2,694","1,757",64.1,2.8,65.2,2.8,"1,250",45.6,2.9,46.4,2.9,,,,,,,
,Black alone,215,199,120,55.9,12.4,60.3,12.7,66,30.8,11.5,33.1,12.2,,,,,,,
,Asian alone,189,98,39,20.4,11.2,39.3,18.8,20,10.6,8.6,20.3,15.5,,,,,,,
,Hispanic (of any race),"1,580","1,145",687,43.5,5.9,60.0,6.9,364,23.1,5.0,31.8,6.5,,,,,,,
,White alone or in combination,"4,315","3,827","2,425",56.2,2.3,63.4,2.4,"1,614",37.4,2.2,42.2,2.4,,,,,,,
,Black alone or in combination,248,229,120,48.5,11.6,52.4,12.1,66,26.7,10.3,28.8,10.9,,,,,,,
,Asian alone or in combination,205,115,48,23.3,11.3,41.7,17.6,25,12.0,8.7,21.5,14.7,,,,,,,
ARKANSAS,Total,"2,189","2,057","1,292",59.0,2.5,62.8,2.6,798,36.5,2.5,38.8,2.6,,,,,,,
,Male,"1,058",993,592,55.9,3.7,59.6,3.7,364,34.4,3.5,36.7,3.7,,,,,,,
,Female,"1,131","1,064",700,61.9,3.5,65.8,3.5,434,38.3,3.5,40.8,3.6,,,,,,,
,White alone,"1,763","1,680","1,076",61.0,2.8,64.0,2.8,661,37.5,2.8,39.3,2.9,,,,,,,
,.White non-Hispanic alone,"1,645","1,633","1,058",64.3,2.8,64.8,2.8,647,39.3,2.9,39.6,2.9,,,,,,,
,Black alone,307,303,184,60.0,8.1,60.7,8.1,116,37.7,8.0,38.2,8.1,,,,,,,
,Asian alone,54,28,8,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),136,55,20,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,795","1,712","1,087",60.6,2.8,63.5,2.8,670,37.3,2.7,39.1,2.8,,,,,,,
,Black alone or in combination,311,307,184,59.3,8.1,60.0,8.1,116,37.3,8.0,37.7,8.0,,,,,,,
,Asian alone or in combination,57,31,8,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
CALIFORNIA,Total,"29,030","24,455","14,113",48.6,0.9,57.7,1.0,"8,949",30.8,0.8,36.6,0.9,,,,,,,
,Male,"14,156","11,811","6,622",46.8,1.3,56.1,1.4,"4,240",30.0,1.2,35.9,1.3,,,,,,,
,Female,"14,874","12,645","7,491",50.4,1.2,59.2,1.3,"4,708",31.7,1.2,37.2,1.3,,,,,,,
,White alone,"21,429","18,060","10,753",50.2,1.0,59.5,1.1,"7,093",33.1,1.0,39.3,1.1,,,,,,,
,.White non-Hispanic alone,"12,326","11,907","7,830",63.5,1.3,65.8,1.3,"5,551",45.0,1.4,46.6,1.4,,,,,,,
,Black alone,"1,846","1,787","1,043",56.5,4.2,58.4,4.3,535,29.0,3.9,29.9,4.0,,,,,,,
,Asian alone,"4,409","3,486","1,628",36.9,2.8,46.7,3.2,933,21.2,2.4,26.8,2.9,,,,,,,
,Hispanic (of any race),"10,023","6,859","3,294",32.9,2.2,48.0,2.9,"1,707",17.0,1.8,24.9,2.5,,,,,,,
,White alone or in combination,"21,993","18,565","11,107",50.5,1.0,59.8,1.1,"7,252",33.0,1.0,39.1,1.1,,,,,,,
,Black alone or in combination,"1,997","1,913","1,134",56.8,4.1,59.3,4.1,570,28.5,3.7,29.8,3.8,,,,,,,
,Asian alone or in combination,"4,598","3,660","1,742",37.9,2.7,47.6,3.2,986,21.5,2.3,27.0,2.8,,,,,,,
COLORADO,Total,"4,009","3,732","2,654",66.2,2.3,71.1,2.3,"2,211",55.2,2.4,59.3,2.4,,,,,,,
,Male,"1,979","1,849","1,288",65.1,3.3,69.7,3.2,"1,059",53.5,3.4,57.3,3.5,,,,,,,
,Female,"2,030","1,883","1,366",67.3,3.2,72.5,3.1,"1,152",56.8,3.3,61.2,3.4,,,,,,,
,White alone,"3,637","3,427","2,453",67.4,2.4,71.6,2.3,"2,085",57.3,2.5,60.8,2.5,,,,,,,
,.White non-Hispanic alone,"3,010","2,965","2,192",72.8,2.5,73.9,2.4,"1,888",62.7,2.7,63.7,2.7,,,,,,,
,Black alone,147,132,75,51.2,15.2,57.0,15.8,56,38.0,14.7,42.3,15.8,,,,,,,
,Asian alone,112,63,48,(B),(B),(B),(B),40,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),701,534,321,45.8,9.0,60.1,10.1,218,31.1,8.4,40.9,10.2,,,,,,,
,White alone or in combination,"3,688","3,478","2,498",67.7,2.3,71.8,2.3,"2,105",57.1,2.5,60.5,2.5,,,,,,,
,Black alone or in combination,157,142,78,49.9,14.7,55.1,15.3,57,36.5,14.1,40.4,15.1,,,,,,,
,Asian alone or in combination,138,88,74,53.3,16.3,83.1,15.3,48,35.0,15.6,54.6,20.3,,,,,,,
CONNECTICUT,Total,"2,783","2,560","1,668",59.9,2.4,65.1,2.5,"1,195",43.0,2.5,46.7,2.6,,,,,,,
,Male,"1,333","1,217",765,57.4,3.6,62.9,3.6,588,44.1,3.6,48.3,3.8,,,,,,,
,Female,"1,450","1,343",903,62.3,3.4,67.2,3.4,607,41.9,3.4,45.2,3.6,,,,,,,
,White alone,"2,344","2,198","1,475",62.9,2.6,67.1,2.6,"1,065",45.4,2.7,48.4,2.8,,,,,,,
,.White non-Hispanic alone,"2,076","2,014","1,374",66.2,2.7,68.2,2.7,"1,009",48.6,2.9,50.1,2.9,,,,,,,
,Black alone,291,246,121,41.7,9.2,49.2,10.2,83,28.4,8.4,33.5,9.6,,,,,,,
,Asian alone,101,72,40,(B),(B),(B),(B),28,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),319,220,116,36.3,11.2,52.6,13.9,68,21.3,9.5,30.8,12.9,,,,,,,
,White alone or in combination,"2,376","2,231","1,502",63.2,2.6,67.4,2.6,"1,083",45.6,2.7,48.5,2.8,,,,,,,
,Black alone or in combination,305,261,131,42.8,9.0,50.1,9.9,86,28.1,8.2,32.9,9.3,,,,,,,
,Asian alone or in combination,101,72,40,(B),(B),(B),(B),28,(B),(B),(B),(B),,,,,,,
DELAWARE,Total,712,661,442,62.0,2.4,66.8,2.5,299,42.0,2.5,45.2,2.6,,,,,,,
,Male,337,311,206,61.2,3.6,66.2,3.6,139,41.2,3.6,44.6,3.8,,,,,,,
,Female,375,350,236,62.8,3.4,67.3,3.4,160,42.7,3.4,45.7,3.6,,,,,,,
,White alone,510,484,336,65.9,2.8,69.4,2.8,229,44.9,3.0,47.2,3.1,,,,,,,
,.White non-Hispanic alone,471,465,326,69.3,2.9,70.2,2.9,224,47.7,3.1,48.3,3.1,,,,,,,
,Black alone,147,138,91,61.9,6.5,66.1,6.6,59,40.3,6.6,43.0,6.9,,,,,,,
,Asian alone,32,20,4,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),56,31,14,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,White alone or in combination,523,496,344,65.7,2.8,69.2,2.8,234,44.7,2.9,47.2,3.0,,,,,,,
,Black alone or in combination,157,146,98,62.4,6.3,67.0,6.4,64,40.7,6.4,43.7,6.7,,,,,,,
,Asian alone or in combination,33,20,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
DISTRICT OF COLUMBIA,Total,538,480,353,65.6,2.4,73.5,2.4,247,45.8,2.6,51.4,2.7,,,,,,,
,Male,249,219,165,66.2,3.6,75.3,3.5,118,47.1,3.8,53.6,4.0,,,,,,,
,Female,289,261,188,65.1,3.3,71.9,3.3,129,44.8,3.5,49.5,3.7,,,,,,,
,White alone,251,220,176,70.1,3.4,79.7,3.2,123,49.1,3.8,55.8,4.0,,,,,,,
,.White non-Hispanic alone,213,202,162,76.3,3.5,80.6,3.3,113,53.3,4.1,56.2,4.2,,,,,,,
,Black alone,248,235,164,66.1,4.3,69.7,4.3,114,46.1,4.6,48.6,4.7,,,,,,,
,Asian alone,21,10,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),53,28,19,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,262,231,182,69.7,3.4,79.0,3.2,128,48.9,3.7,55.4,3.9,,,,,,,
,Black alone or in combination,259,244,169,65.3,4.3,69.3,4.3,119,45.9,4.5,48.8,4.6,,,,,,,
,Asian alone or in combination,25,13,7,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
FLORIDA,Total,"15,414","13,879","8,691",56.4,1.2,62.6,1.2,"6,220",40.4,1.2,44.8,1.3,,,,,,,
,Male,"7,335","6,551","4,008",54.6,1.7,61.2,1.8,"2,840",38.7,1.7,43.4,1.8,,,,,,,
,Female,"8,079","7,327","4,683",58.0,1.6,63.9,1.7,"3,380",41.8,1.6,46.1,1.7,,,,,,,
,White alone,"12,507","11,266","7,010",56.1,1.3,62.2,1.4,"5,071",40.6,1.3,45.0,1.4,,,,,,,
,.White non-Hispanic alone,"9,134","8,922","5,596",61.3,1.5,62.7,1.5,"4,237",46.4,1.6,47.5,1.6,,,,,,,
,Black alone,"2,331","2,112","1,358",58.2,3.7,64.3,3.8,929,39.8,3.6,44.0,3.9,,,,,,,
,Asian alone,374,299,184,49.0,9.7,61.5,10.6,128,34.3,9.2,43.0,10.8,,,,,,,
,Hispanic (of any race),"3,530","2,480","1,493",42.3,3.9,60.2,4.6,892,25.3,3.4,36.0,4.5,,,,,,,
,White alone or in combination,"12,646","11,406","7,101",56.2,1.3,62.3,1.3,"5,127",40.5,1.3,45.0,1.4,,,,,,,
,Black alone or in combination,"2,401","2,182","1,386",57.7,3.6,63.5,3.7,948,39.5,3.6,43.5,3.8,,,,,,,
,Asian alone or in combination,407,331,206,50.5,9.3,62.1,10.0,143,35.2,8.9,43.2,10.2,,,,,,,
GEORGIA,Total,"7,306","6,759","4,306",58.9,1.7,63.7,1.8,"2,919",40.0,1.7,43.2,1.8,,,,,,,
,Male,"3,458","3,143","1,959",56.7,2.5,62.3,2.6,"1,297",37.5,2.5,41.3,2.7,,,,,,,
,Female,"3,848","3,616","2,347",61.0,2.4,64.9,2.4,"1,622",42.2,2.4,44.9,2.5,,,,,,,
,White alone,"4,569","4,236","2,764",60.5,2.2,65.3,2.2,"1,866",40.8,2.2,44.0,2.3,,,,,,,
,.White non-Hispanic alone,"4,142","4,097","2,708",65.4,2.2,66.1,2.2,"1,835",44.3,2.3,44.8,2.3,,,,,,,
,Black alone,"2,199","2,150","1,339",60.9,3.8,62.3,3.8,925,42.1,3.9,43.0,3.9,,,,,,,
,Asian alone,388,242,108,27.7,8.7,44.5,12.2,62,16.0,7.1,25.7,10.7,,,,,,,
,Hispanic (of any race),508,207,99,19.6,8.4,48.1,16.5,62,12.1,6.9,29.8,15.1,,,,,,,
,White alone or in combination,"4,655","4,317","2,826",60.7,2.2,65.4,2.2,"1,901",40.8,2.2,44.0,2.3,,,,,,,
,Black alone or in combination,"2,272","2,224","1,385",61.0,3.7,62.3,3.8,968,42.6,3.8,43.5,3.8,,,,,,,
,Asian alone or in combination,413,267,133,32.1,8.8,49.7,11.7,71,17.1,7.1,26.5,10.3,,,,,,,
HAWAII,Total,"1,035",956,490,47.4,2.5,51.3,2.6,399,38.6,2.4,41.8,2.6,,,,,,,
,Male,502,475,243,48.4,3.6,51.2,3.7,197,39.2,3.5,41.4,3.6,,,,,,,
,Female,533,481,247,46.4,3.5,51.4,3.7,202,38.0,3.4,42.1,3.6,,,,,,,
,White alone,228,217,117,51.6,5.3,54.2,5.5,95,41.8,5.3,44.0,5.4,,,,,,,
,.White non-Hispanic alone,211,201,110,52.1,5.5,54.6,5.7,91,43.0,5.5,45.1,5.7,,,,,,,
,Black alone,19,18,8,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,Asian alone,482,428,228,47.2,4.6,53.2,4.9,196,40.6,4.6,45.8,4.9,,,,,,,
,Hispanic (of any race),64,62,31,(B),(B),(B),(B),21,(B),(B),(B),(B),,,,,,,
,White alone or in combination,352,340,189,53.7,4.3,55.5,4.3,146,41.3,4.2,42.8,4.3,,,,,,,
,Black alone or in combination,26,25,10,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,605,550,297,49.1,4.1,54.1,4.3,243,40.1,4.1,44.2,4.3,,,,,,,
IDAHO,Total,"1,182","1,105",671,56.8,2.6,60.7,2.6,462,39.1,2.5,41.8,2.6,,,,,,,
,Male,585,535,312,53.3,3.7,58.2,3.8,213,36.5,3.5,39.9,3.8,,,,,,,
,Female,597,569,359,60.1,3.6,63.1,3.6,248,41.6,3.6,43.6,3.7,,,,,,,
,White alone,"1,110","1,044",648,58.4,2.6,62.1,2.7,452,40.7,2.6,43.3,2.7,,,,,,,
,.White non-Hispanic alone,963,951,625,64.9,2.7,65.8,2.7,435,45.2,2.8,45.8,2.9,,,,,,,
,Black alone,10,10,1,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,20,12,4,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),153,96,23,15.1,8.1,24.0,12.2,17,11.1,7.1,17.6,10.8,,,,,,,
,White alone or in combination,"1,127","1,060",658,58.4,2.6,62.1,2.6,458,40.7,2.6,43.2,2.7,,,,,,,
,Black alone or in combination,15,15,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,22,14,7,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
ILLINOIS,Total,"9,757","8,951","5,716",58.6,1.5,63.9,1.5,"3,734",38.3,1.5,41.7,1.6,,,,,,,
,Male,"4,714","4,239","2,574",54.6,2.2,60.7,2.3,"1,730",36.7,2.1,40.8,2.3,,,,,,,
,Female,"5,042","4,712","3,142",62.3,2.1,66.7,2.1,"2,004",39.7,2.1,42.5,2.2,,,,,,,
,White alone,"7,648","7,097","4,673",61.1,1.7,65.9,1.7,"3,070",40.1,1.7,43.3,1.8,,,,,,,
,.White non-Hispanic alone,"6,382","6,237","4,269",66.9,1.8,68.4,1.8,"2,857",44.8,1.9,45.8,1.9,,,,,,,
,Black alone,"1,348","1,329",768,57.0,4.9,57.8,5.0,535,39.7,4.9,40.2,4.9,,,,,,,
,Asian alone,616,396,167,27.1,6.8,42.2,9.5,73,11.9,5.0,18.5,7.5,,,,,,,
,Hispanic (of any race),"1,316",892,410,31.1,6.1,45.9,7.9,218,16.6,4.9,24.4,6.8,,,,,,,
,White alone or in combination,"7,739","7,176","4,743",61.3,1.7,66.1,1.7,"3,102",40.1,1.7,43.2,1.8,,,,,,,
,Black alone or in combination,"1,387","1,368",801,57.7,4.9,58.6,4.9,558,40.2,4.8,40.8,4.9,,,,,,,
,Asian alone or in combination,659,427,192,29.2,6.8,45.0,9.2,78,11.8,4.8,18.2,7.1,,,,,,,
INDIANA,Total,"4,913","4,693","3,048",62.0,2.1,64.9,2.1,"1,646",33.5,2.0,35.1,2.1,,,,,,,
,Male,"2,357","2,244","1,426",60.5,3.0,63.5,3.0,795,33.7,2.9,35.4,3.0,,,,,,,
,Female,"2,556","2,449","1,622",63.5,2.9,66.2,2.9,850,33.3,2.8,34.7,2.9,,,,,,,
,White alone,"4,365","4,212","2,788",63.9,2.2,66.2,2.2,"1,498",34.3,2.2,35.6,2.2,,,,,,,
,.White non-Hispanic alone,"4,062","4,042","2,715",66.8,2.2,67.2,2.2,"1,463",36.0,2.3,36.2,2.3,,,,,,,
,Black alone,395,385,226,57.4,9.0,58.8,9.1,143,36.4,8.8,37.3,8.9,,,,,,,
,Asian alone,95,38,4,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),314,180,78,24.8,11.5,43.1,17.4,35,11.2,8.4,19.4,13.9,,,,,,,
,White alone or in combination,"4,395","4,242","2,801",63.7,2.2,66.0,2.2,"1,502",34.2,2.1,35.4,2.2,,,,,,,
,Black alone or in combination,420,410,240,57.1,8.8,58.4,8.8,147,35.1,8.5,35.9,8.6,,,,,,,
,Asian alone or in combination,99,42,4,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
IOWA,Total,"2,336","2,275","1,584",67.8,2.4,69.6,2.4,"1,203",51.5,2.6,52.9,2.6,,,,,,,
,Male,"1,154","1,120",755,65.4,3.5,67.4,3.5,569,49.3,3.6,50.8,3.7,,,,,,,
,Female,"1,182","1,155",829,70.2,3.3,71.8,3.3,634,53.7,3.6,54.9,3.6,,,,,,,
,White alone,"2,171","2,146","1,515",69.8,2.4,70.6,2.4,"1,154",53.1,2.7,53.7,2.7,,,,,,,
,.White non-Hispanic alone,"2,099","2,096","1,496",71.3,2.4,71.4,2.4,"1,143",54.5,2.7,54.5,2.7,,,,,,,
,Black alone,69,61,31,(B),(B),(B),(B),20,(B),(B),(B),(B),,,,,,,
,Asian alone,54,33,17,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),81,52,21,(B),(B),(B),(B),11,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"2,197","2,169","1,532",69.7,2.4,70.6,2.4,"1,167",53.1,2.6,53.8,2.7,,,,,,,
,Black alone or in combination,84,75,38,45.0,16.3,50.1,17.3,22,26.9,14.5,29.9,15.9,,,,,,,
,Asian alone or in combination,60,39,21,(B),(B),(B),(B),16,(B),(B),(B),(B),,,,,,,
KANSAS,Total,"2,125","1,993","1,353",63.7,2.6,67.9,2.6,962,45.3,2.7,48.3,2.8,,,,,,,
,Male,"1,037",956,635,61.2,3.8,66.4,3.9,453,43.7,3.9,47.4,4.1,,,,,,,
,Female,"1,088","1,037",718,66.0,3.6,69.2,3.6,509,46.8,3.8,49.1,3.9,,,,,,,
,White alone,"1,853","1,770","1,220",65.8,2.8,68.9,2.8,873,47.1,2.9,49.3,3.0,,,,,,,
,.White non-Hispanic alone,"1,673","1,671","1,170",69.9,2.8,70.0,2.8,838,50.1,3.1,50.1,3.1,,,,,,,
,Black alone,129,122,73,56.3,13.3,59.8,13.6,53,40.8,13.2,43.3,13.7,,,,,,,
,Asian alone,76,45,30,(B),(B),(B),(B),22,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),216,125,70,32.4,12.6,55.8,17.6,44,20.5,10.9,35.3,17.0,,,,,,,
,White alone or in combination,"1,892","1,799","1,234",65.3,2.8,68.6,2.8,879,46.5,2.9,48.9,3.0,,,,,,,
,Black alone or in combination,139,131,75,53.7,12.9,56.8,13.2,54,39.2,12.7,41.5,13.2,,,,,,,
,Asian alone or in combination,84,53,34,(B),(B),(B),(B),25,(B),(B),(B),(B),,,,,,,
KENTUCKY,Total,"3,323","3,207","2,298",69.2,2.4,71.6,2.4,"1,525",45.9,2.6,47.5,2.7,,,,,,,
,Male,"1,597","1,532","1,091",68.3,3.5,71.2,3.5,754,47.2,3.8,49.2,3.9,,,,,,,
,Female,"1,725","1,675","1,207",70.0,3.3,72.1,3.3,770,44.6,3.6,46.0,3.7,,,,,,,
,White alone,"2,943","2,870","2,059",70.0,2.6,71.8,2.5,"1,367",46.4,2.8,47.6,2.8,,,,,,,
,.White non-Hispanic alone,"2,842","2,821","2,031",71.5,2.6,72.0,2.6,"1,349",47.5,2.8,47.8,2.8,,,,,,,
,Black alone,271,263,184,67.7,10.4,70.0,10.4,117,43.2,11.0,44.7,11.2,,,,,,,
,Asian alone,53,26,23,(B),(B),(B),(B),23,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),113,55,34,(B),(B),(B),(B),23,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"2,985","2,912","2,089",70.0,2.5,71.7,2.5,"1,382",46.3,2.8,47.5,2.8,,,,,,,
,Black alone or in combination,295,286,198,66.9,10.0,69.0,10.0,123,41.6,10.5,42.9,10.7,,,,,,,
,Asian alone or in combination,53,26,23,(B),(B),(B),(B),23,(B),(B),(B),(B),,,,,,,
LOUISIANA,Total,"3,450","3,342","2,398",69.5,2.3,71.7,2.3,"1,677",48.6,2.5,50.2,2.5,,,,,,,
,Male,"1,645","1,583","1,108",67.3,3.3,70.0,3.3,768,46.7,3.6,48.5,3.6,,,,,,,
,Female,"1,805","1,759","1,290",71.5,3.1,73.4,3.0,908,50.3,3.4,51.7,3.4,,,,,,,
,White alone,"2,250","2,170","1,596",70.9,2.8,73.5,2.7,"1,094",48.6,3.0,50.4,3.1,,,,,,,
,.White non-Hispanic alone,"2,094","2,080","1,543",73.7,2.8,74.2,2.8,"1,065",50.8,3.2,51.2,3.2,,,,,,,
,Black alone,"1,042","1,034",729,70.0,5.0,70.5,5.0,533,51.2,5.4,51.6,5.4,,,,,,,
,Asian alone,82,62,24,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),165,100,57,34.4,16.8,56.7,22.5,31,19.0,13.9,31.3,21.0,,,,,,,
,White alone or in combination,"2,280","2,200","1,616",70.9,2.8,73.4,2.7,"1,109",48.7,3.0,50.4,3.1,,,,,,,
,Black alone or in combination,"1,072","1,063",752,70.2,4.9,70.7,4.9,552,51.5,5.3,51.9,5.4,,,,,,,
,Asian alone or in combination,85,64,24,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
MAINE,Total,"1,061","1,045",799,75.4,2.4,76.5,2.4,642,60.5,2.7,61.5,2.7,,,,,,,
,Male,512,503,373,73.0,3.6,74.2,3.6,302,59.0,4.0,60.0,4.0,,,,,,,
,Female,549,541,426,77.6,3.2,78.7,3.2,340,61.9,3.8,62.8,3.8,,,,,,,
,White alone,"1,009","1,002",771,76.4,2.4,76.9,2.4,616,61.1,2.8,61.5,2.8,,,,,,,
,.White non-Hispanic alone,999,992,766,76.7,2.4,77.3,2.4,613,61.4,2.8,61.8,2.8,,,,,,,
,Black alone,9,7,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone,11,3,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),10,10,4,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,036","1,029",790,76.2,2.4,76.7,2.4,635,61.3,2.8,61.7,2.8,,,,,,,
,Black alone or in combination,19,17,11,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,13,5,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
MARYLAND,Total,"4,542","4,148","2,995",65.9,2.2,72.2,2.1,"2,028",44.7,2.3,48.9,2.4,,,,,,,
